rank,id,user_id,user_login,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids
80,315250140787,915318196,meimeihimari,冥鳴ひまりです,509538,Animal Crossing: New Horizons,live,あさだぞおおおおおお,50,2025-12-10T22:02:29Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_meimeihimari-{width}x{height}.jpg,
81,315197516146,1379028155,kinomi_taruto,木乃実たると,509659,ASMR,live,【木乃実たると】お耳を優しくいじめてあげる💛【ループ配信】,50,2025-12-09T11:10:45Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_kinomi_taruto-{width}x{height}.jpg,
82,315249258227,884044024,ruri__1203,瑠莉_,509658,Just Chatting,live,【初見さん大歓迎💭】おきたああ！^_ .̫ _^💭【雑談】,47,2025-12-10T15:05:16Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_ruri__1203-{width}x{height}.jpg,
83,315248708211,232622707,hasshy_ow,Hasshy_OW,1135492840,Sonic Racing: CrossWorlds,live,Hi im Hasshy ティンドン 👹 NUMBA 1 NEVADA 👹 GIGACHAD COSPLAY 👹 BLUE GEM OWNER 👹 !dn,46,2025-12-10T13:00:24Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_hasshy_ow-{width}x{height}.jpg,
84,315192157425,885221139,72ksz,夏樹すず,997367275,Pokémon Legends: Z-A,live,ポケモンDLCやるぞー！【ネタバレ注意】,45,2025-12-10T08:29:32Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_72ksz-{width}x{height}.jpg,
85,315249526515,156282703,toto1010_,とと1010,1264310518,Marvel Rivals,live,🦸┇ガンビットがいると助かると聞きましたがほんと？┇JPN/👶ENG┇ @toto1010_ ┇!a5┇!voicemod┇!ocs,43,2025-12-10T16:46:37Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_toto1010_-{width}x{height}.jpg,
86,315193505009,141528714,rariboy1246,rariboy1246,24241,FINAL FANTASY XIV ONLINE,live,[FF14]@1w ふんばれ！ コメント、フォローお気軽に！！,42,2025-12-10T13:32:48Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_rariboy1246-{width}x{height}.jpg,
87,315203077362,454791624,1g00u,サイファーの膝裏,519103,PowerWash Simulator,live,【PowerWash Simulator】爆負け。ゆえにチル。【雑談】 @1g00u,42,2025-12-10T16:15:29Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_1g00u-{width}x{height}.jpg,
88,315192254961,414108790,asamaru11,あさまるっ,19976,MapleStory,live,レンやります,42,2025-12-10T09:02:13Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_asamaru11-{width}x{height}.jpg,
89,315202133618,531623021,arukach,あるか220,509659,ASMR,live,"寝落ちASMR💤🎧*｡ 一緒に寝よ？ 心音 , heartbeat , Sleep Stream【最初だけお喋り🎀】",41,2025-12-10T12:30:51Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_arukach-{width}x{height}.jpg,
